objectid,id,cod_setor,st_areashape,st_lengthshape
295,330455705080119,080119,35311.43586843,1011.44986051969
296,330455705080120,080120,32124.55389452,821.965957321063
297,330455705080121,080121,23376.615376395,691.404864672845
298,330455705080122,080122,17494.938064185,584.098589276012
299,330455705080123,080123,23081.284694575,724.316453711777
300,330455705080124,080124,16743.15273038,535.968647780878
301,330455705080125,080125,12801.35305107,597.986463621586
302,330455705080126,080126,9691.377117975,394.777155543542
303,330455705080127,080127,170190.957486565,2298.24683719326
304,330455705080128,080128,3262.72351425,313.529114040987
305,330455705080129,080129,10241.50548445,629.795233070539
306,330455705080130,080130,28879.95109103,718.924566550375
307,330455705080131,080131,47371.68418093,1462.96504524915
308,330455705080132,080132,7152.66227008,353.820367328235
309,330455705080133,080133,12148.575072915,573.132887729552
310,330455705080134,080134,8497.180653675,665.684299374047
311,330455705080135,080135,15605.999461035,745.873352576065
312,330455705080136,080136,6986.65137294,540.446891440869
313,330455705080137,080137,9822.48992631,431.764757694314
314,330455705080138,080138,6538.92205932,389.293105480708
315,330455705080139,080139,13420.58498912,642.024966232115
316,330455705080140,080140,14589.46248466,629.141246475091
317,330455705080141,080141,11362.016136365,661.042440895828
318,330455705080142,080142,16560.809920525,866.940863409431
319,330455705080143,080143,7534.426803305,543.384637210657
320,330455705080144,080144,28364.112025125,861.376699227088
321,330455705080145,080145,9852.768254145,610.892921089267
322,330455705080146,080146,3335.138440835,266.442156771322
323,330455705080147,080147,7968.206840055,379.385247629369
324,330455705080148,080148,17661.141537245,622.67755000324
325,330455705080149,080149,12688.704863305,671.805439401178
326,330455705080150,080150,7510.45388123,795.134880720843
327,330455705080151,080151,7563.805484375,402.007961177019
328,330455705080152,080152,887687.102275655,11847.3001369801
329,330455705090001,090001,15193.860090135,1133.52565380556
330,330455705090002,090002,215100.443851725,3768.96840554768
331,330455705090003,090003,43637.44670589,973.622367556388
332,330455705090004,090004,27412.33566036,648.233343417354
333,330455705090005,090005,25559.65256869,684.75874069638
334,330455705090006,090006,25513.29021519,702.318849094483
335,330455705090007,090007,30547.54607425,1117.0488776949
336,330455705090008,090008,27194.89910285,1168.01157270721
337,330455705090009,090009,6006.85135744,311.683344231579
338,330455705090010,090010,65622.835579495,1937.13452098531
339,330455705090011,090011,393704.2211351,4906.70153715293
340,330455705090012,090012,6615.18532553,355.209135763048
341,330455705090013,090013,280780.457787,4780.38781496452
342,330455705090014,090014,9219.73070947,509.681814561065
343,330455705090015,090015,3537.06800725,239.476303465096
344,330455705090016,090016,2702.67248879,208.028450382717
345,330455705090017,090017,1868.434269695,176.593150045601
346,330455705090018,090018,1802.69091353,173.802685640432
347,330455705090019,090019,3848.871364415,251.822360560904
348,330455705090020,090020,12000.975922045,561.519470478499
349,330455705090021,090021,99739.685336545,1633.07507407319
350,330455705090022,090022,10253.178924885,547.588104040944
351,330455705090023,090023,84678.00159997,1347.02804930698
352,330455705090024,090024,9047.02137132,425.000280019089
353,330455705090025,090025,9383.522917355,430.245206947927
354,330455705090026,090026,4694.808914915,295.862331564619
355,330455705090027,090027,6275.05550328,371.364964227843
356,330455705090028,090028,22817.811562555,602.718551546205
357,330455705090029,090029,46949.190771295,1796.48674348127
358,330455705090030,090030,5704.0706974,350.708457108456
359,330455705090031,090031,4563.263237765,395.233993311224
360,330455705090032,090032,19867.88209883,951.220278627903
361,330455705090033,090033,240910.755170915,2105.09999917139
362,330455705090034,090034,51219.279571845,1843.38759347527
363,330455705090035,090035,10964.6255073,565.908504523659
364,330455705090036,090036,14428.11614738,757.454540851388
365,330455705090037,090037,64765.09215495,2553.43900771666
366,330455705090038,090038,12840.30786111,455.872607313956
367,330455705090039,090039,25380.183762445,724.755506357362
368,330455705090040,090040,71630.219834175,1085.96086755144
369,330455705090041,090041,23567.6003139,896.270130644161
370,330455705090042,090042,29885.77868785,1084.31905831348
371,330455705090043,090043,7472.368825025,419.069821931171
372,330455705090044,090044,20915.65613243,611.54123446297
373,330455705090045,090045,30284.33386446,938.591322085597
374,330455705090046,090046,9903.49890873,434.907194731243
375,330455705090047,090047,27658.112886425,957.88519418073
376,330455705090048,090048,6108.03815963,347.256810565593
377,330455705090049,090049,9831.79165078,452.732993327224
378,330455705090050,090050,34235.482019965,958.782392686691
379,330455705090051,090051,26750.20424446,684.407243323596
380,330455705090052,090052,29384.957948735,727.902255130536
381,330455705090053,090053,19464.402797125,721.899032150932
382,330455705090054,090054,2116.34705349,184.731956016114
383,330455705090055,090055,36682.97348115,774.366703137309
384,330455705090056,090056,15382.801605555,520.15073254917
385,330455705090057,090057,9596.559340865,992.710383741939
386,330455705090058,090058,21739.020429985,1119.84598473747
387,330455705090059,090059,34945.49840202,1162.40424729867
388,330455705090060,090060,5436.781676915,327.193419998285
389,330455705090061,090061,18831.245874355,572.312260465519
390,330455705090062,090062,18365.462174065,565.7673401461
391,330455705090063,090063,14067.31365979,484.877336764054
392,330455705090064,090064,25091.65881193,637.656195839884
393,330455705090065,090065,81116.82486757,1697.20824753469
394,330455705090066,090066,42864.793175245,1133.69400024794
395,330455705090067,090067,31454.15991491,1324.53840070473
396,330455705090068,090068,11134.73109485,658.989648445827
397,330455705090069,090069,6272.46587562,385.035458278346
398,330455705090070,090070,26973.56713865,665.868136342017
399,330455705090071,090071,11343.621015335,493.700294152858
400,330455705090072,090072,15743.59781198,650.842450360616
401,330455705090073,090073,14945.34269777,682.159580961216
402,330455705090074,090074,28351.047983565,696.775201428891
403,330455705090075,090075,12251.373650055,666.729116231297
404,330455705090076,090076,13684.46089779,476.829491924918
405,330455705090077,090077,19932.45540619,905.819991778358
406,330455705090078,090078,15138.635151635,905.623564689599
407,330455705090079,090079,19752.635881845,979.99211560616
408,330455705090080,090080,17139.45336683,906.595175044502
409,330455705090081,090081,16145.04355681,591.952141434327
410,330455705090082,090082,15579.918329275,786.761973117072
411,330455705090083,090083,35951.845220705,942.648494141148
412,330455705090084,090084,5502.386285095,312.35295614558
413,330455705090085,090085,7136.86172601,784.676868711133
414,330455705090086,090086,19164.742633325,806.989018482167
415,330455705090087,090087,13096.10393468,1159.70055578363
416,330455705090088,090088,14609.591538825,680.959908859051
417,330455705090089,090089,10188.622788805,433.221069878274
418,330455705090090,090090,4734.800337665,344.352080671057
419,330455705090091,090091,13697.8061191,1094.4344374754
420,330455705090092,090092,9393.78185423,409.682464330753
421,330455705090093,090093,6058.86991008,355.533968964902
422,330455705090094,090094,9575.14215674,504.234279029125
423,330455705090095,090095,17221.37544393,748.867123206413
424,330455705090096,090096,9444.131609255,427.54293893496
425,330455705090097,090097,959.48991596,126.103636614497
426,330455705090098,090098,1943.70554367,205.552098274972
427,330455705090099,090099,18454.25862553,684.910878325406
428,330455705090100,090100,5166.958152415,310.445179241698
429,330455705090101,090101,7075.650730105,429.132794381051
430,330455705090102,090102,19522.104295545,771.390492420667
431,330455705090103,090103,6451.522605675,335.351562569124
432,330455705090104,090104,23735.08251502,859.591694091325
433,330455705090105,090105,11643.676212495,655.152071248856
434,330455705090106,090106,18752.203936555,582.753934566283
435,330455705090107,090107,17405.602406345,685.382872231329
436,330455705090108,090108,26551.504338255,898.39056952179
437,330455705090109,090109,6930.956878195,706.178693872056
438,330455705090110,090110,18992.3523788,975.347527107285
439,330455705090111,090111,14737.17895098,477.320005903946
440,330455705090112,090112,20687.70189346,882.708630715483
441,330455705090113,090113,8224.63779439,406.700852444916
442,330455705090114,090114,16117.70972218,672.690182405553
443,330455705090115,090115,65751.068358315,1129.95364024695
444,330455705090116,090116,39182.773279375,772.091878745926
445,330455705090117,090117,8768.68501999,405.350998592774
446,330455705090118,090118,12024.22606736,659.743092315006
447,330455705090119,090119,9620.25816559,464.867771672379
448,330455705090120,090120,11448.71667533,729.052828133249
449,330455705090121,090121,12891.2674179,596.351328192768
450,330455705090122,090122,97001.25141486,1630.07175140407
451,330455705090123,090123,15726.68467427,643.918906368538
452,330455705090124,090124,11006.63613338,462.598843920928
453,330455705090125,090125,14794.77602175,735.287348731773
454,330455705090126,090126,106409.92036848,3733.92059069406
455,330455705090127,090127,8489.37243802,458.754023629115
456,330455705090128,090128,18589.31785713,779.079500112689
457,330455705090129,090129,66456.92389478,1407.43093693811
458,330455705090130,090130,132869.47267979,3210.38440150765
459,330455705090131,090131,7218.628571015,355.518694650526
460,330455705090132,090132,7402.50457031,358.885447898008
461,330455705090133,090133,6021.767092375,381.640051256559
462,330455705090134,090134,27697.33990416,815.159773639248
463,330455705090135,090135,32755.99421012,734.566898817377
464,330455705090136,090136,6917.971113305,369.302691266151
465,330455705090137,090137,1149.32586084,136.160317824228
466,330455705090138,090138,1184.32995984,138.127419518103
467,330455705090139,090139,1130.32030964,135.120496872463
468,330455705090140,090140,1294.873012325,146.377294442028
469,330455705090141,090141,1207.843910625,141.094466695632
470,330455705090142,090142,29080.723200605,1203.43855118008
471,330455705090143,090143,2106.08786555,181.930599535948
472,330455705090144,090144,217575.33073859,2860.85382142622
473,330455705090145,090145,27578.87404651,681.568320882371
474,330455705090146,090146,23204.307858455,813.244988477361
475,330455705090147,090147,18213.144493375,740.098387758896
476,330455705090148,090148,4840.042702255,288.599009122609
477,330455705090149,090149,19770.00051124,649.665359121059
478,330455705090150,090150,37603.496170375,789.079439624926
479,330455705090151,090151,63718.79235827,1139.93793820595
480,330455705090152,090152,5450.900825655,350.547907199405
481,330455705090153,090153,15175.80538141,733.17784447137
482,330455705090154,090154,14991.126677865,851.032430086657
483,330455705090155,090155,16205.21142643,815.432704135087
484,330455705090156,090156,51648.821109945,1439.77752825725
485,330455705090157,090157,2983.328386175,231.414875984334
486,330455705090158,090158,44291.734334795,1334.35456832924
487,330455705090159,090159,34140.26443873,1290.94550614162
488,330455705090160,090160,44085.075377435,2122.78775377553
489,330455705090161,090161,8397.06750293,864.967889227933
490,330455705090162,090162,26273.7795491,1184.57570326708
